,id_funcionario,nome_completo,cpf_funcionario,data_nascimento,data_admissao,data_demissao,id_cargo,departamento,id_filial,salario,email,telefone,endereco,cep,status
12,1016,CAMILA FERREIRA DIAS,151.617.181-92,1996-03-28,2022-10-12,,3,VENDAS,4,2300.0,camila.dias@farmavida.com.br,(21) 9999-1016,"R ABELARDO BUENO, 200, BARRA, RIO DE JANEIRO - RJ",22775-001,True
13,1017,GUSTAVO LIMA CARDOSO,202.122.232-42,1992-11-05,2021-01-15,,1,FARMÁCIA,4,7000.0,gustavo.cardoso@farmavida.com.br,(21) 99999-1017,"AV SERNAMBETIBA, 3500, BARRA DA TIJUCA",22630-010,True
14,1020,PATRICIA ALMEIDA SOUZA,252.627.282-93,1986-09-10,2018-03-05,,6,ADMINISTRATIVO,5,10200.0,patricia.souza@farmavida.com.br,(31) 97777-1020,"RUA PERNAMBUCO, 900, SAVASSI, BELO HORIZONTE - MG",30130-150,True
15,1021,ANDERSON LUIZ OLIVEIRA,303.132.333-43,1993-01-22,2020-09-08,,4,VENDAS,5,2900.0,anderson.oliveira@farmavida.com.br,(31) 97777-1021,"AV AFONSO PENA, 2000, FUNCIONARIOS, BH - MG",30130-001,True
16,1022,BEATRIZ HELENA SANTOS,353.637.383-94,1997-07-14,2022-05-20,,5,VENDAS,5,1900.0,beatriz.santos@farmavida.com.br,(31) 97777-1022,"RUA SERGIPE, 500, SAVASSI, BELO HORIZONTE",30130-170,True
17,1025,JOAO PEDRO CARVALHO,404.142.434-44,1984-04-08,2018-06-10,,6,ADMINISTRATIVO,6,9800.0,joao.carvalho@farmavida.com.br,(19) 96666-1025,"RUA BARAO DE JAGUARA, 400, CENTRO, CAMPINAS - SP",13015-001,True
18,1026,MARIANA RIBEIRO COSTA,454.647.484-95,1994-12-19,2021-11-25,,3,VENDAS,6,2400.0,mariana.costa@farmavida.com.br,(19) 96666-1026,"AV FRANCISCO GLICERIO, 800, CENTRO, CAMPINAS",13012-002,True
19,1027,GUILHERME NASCIMENTO,505.152.535-45,1991-08-30,2020-04-15,,8,ESTOQUE,6,2800.0,guilherme.nasc@farmavida.com.br,(19) 96666-1027,"R JOSE PAULINO, 1200, CENTRO, CAMPINAS - SP",13013-001,True
20,1030,LUCIANA FERREIRA DIAS,555.657.585-96,1982-02-05,2017-10-20,,6,ADMINISTRATIVO,7,10500.0,luciana.dias@farmavida.com.br,(61) 95555-1030,"SCS QUADRA 5, BL B, ASA SUL, BRASILIA - DF",70300-500,True
21,1031,FELIPE AUGUSTO ROCHA,606.162.636-46,1995-06-11,2022-03-01,,3,VENDAS,7,2350.0,felipe.rocha@farmavida.com.br,(61) 95555-1031,"SQS 308, BL A, ASA SUL, BRASILIA",70356-080,True
22,1032,ALINE CRISTINA BARBOSA,656.667.686-97,1990-10-25,2020-08-10,,1,FARMÁCIA,7,7200.0,aline.barbosa@farmavida.com.br,(61) 95555-1032,"SQN 210, BL C, ASA NORTE, BRASÍLIA - DF",70862-030,True
23,1033,BRUNO CESAR MONTEIRO,707.172.737-47,1998-05-16,2023-01-05,2025-06-15,7,ESTOQUE,7,2100.0,,,,,False
